Dash Set - TraSamp 1-10,1,32,15,45,1980,132,1817,130,107,39.2410991191864,39.25207471847534,0.010934829711914062,0.02789616584777832
Dash Set - TraSamp 1-10,2,32,15,45,1935,129,1815,129,92,70.55136609077454,70.57625341415405,0.01496124267578125,0.09075736999511719
Dash Set - TraSamp 1-10,3,32,15,45,1890,126,1840,126,116,106.31972813606262,106.32770276069641,0.02194070816040039,0.07682442665100098
Dash Set - TraSamp 1-10,4,32,15,45,1845,123,1810,123,115,113.38180136680603,113.38981819152832,0.026928424835205078,0.11070442199707031
Dash Set - TraSamp 1-10,5,32,15,45,1800,120,1779,120,114,134.30187940597534,134.31090474128723,0.028922557830810547,0.11970829963684082
Dash Set - TraSamp 1-10,6,32,15,45,1755,117,1727,117,111,163.90382170677185,163.91974234580994,0.03493618965148926,0.15259170532226562
Dash Set - TraSamp 1-10,7,32,15,45,1710,114,1673,114,104,166.2195689678192,166.23651003837585,0.03594040870666504,0.19248557090759277
Dash Set - TraSamp 1-10,8,32,15,45,1665,111,1650,111,108,194.74030661582947,194.75526976585388,0.04388308525085449,0.20744562149047852
Dash Set - TraSamp 1-10,9,32,15,45,1620,108,1605,108,104,194.60163688659668,194.61063981056213,0.047835350036621094,0.190460205078125
Dash Set - TraSamp 1-10,10,32,15,45,1575,105,1560,105,98,216.94501423835754,216.95992398262024,0.05485177040100098,0.21639204025268555
