Star Set - TraSamp 1-10,1,32,15,45,2640,176,2477,174,134,86.98402523994446,86.9920265674591,0.015970945358276367,0.09199905395507812
Star Set - TraSamp 1-10,2,32,15,45,2580,172,2518,171,163,155.24001097679138,155.2599959373474,0.0239715576171875,0.2200000286102295
Star Set - TraSamp 1-10,3,32,15,45,2520,168,2471,167,161,216.75723147392273,216.76923036575317,0.03199958801269531,0.23599958419799805
Star Set - TraSamp 1-10,4,32,15,45,2460,164,2425,163,160,272.55354857444763,272.5655755996704,0.03999829292297363,0.21599507331848145
Star Set - TraSamp 1-10,5,32,15,45,2400,160,2368,159,153,278.9370560646057,278.9500045776367,0.0468745231628418,0.23530936241149902
Star Set - TraSamp 1-10,6,32,15,45,2340,156,2309,156,152,307.1055908203125,307.1204731464386,0.0498654842376709,0.6520965099334717
Star Set - TraSamp 1-10,7,32,15,45,2280,152,2257,152,149,386.24876737594604,386.26855063438416,0.06282520294189453,0.58514404296875
Star Set - TraSamp 1-10,8,32,15,45,2220,148,2198,148,145,513.6021509170532,513.630044221878,0.08579874038696289,0.8398842811584473
Star Set - TraSamp 1-10,9,32,15,45,2160,144,2127,143,140,605.2367401123047,605.2695643901825,0.12170290946960449,0.6318225860595703
Star Set - TraSamp 1-10,10,32,15,45,2100,140,2077,140,137,588.8485352993011,588.8785531520844,0.10967421531677246,0.8318042755126953
