Abstract Shapes Set - TraSamp 1-10,1,32,10,30,6380,638,5564,589,536,597.2209708690643,597.2743163108826,0.026954174041748047,0.2807607650756836
Abstract Shapes Set - TraSamp 1-10,2,32,10,30,6160,616,5661,582,552,1034.219586610794,1034.2735023498535,0.05285906791687012,0.4497976303100586
Abstract Shapes Set - TraSamp 1-10,3,32,10,30,5940,594,5527,559,545,1440.0607299804688,1440.1194932460785,0.07280135154724121,0.7928590774536133
Abstract Shapes Set - TraSamp 1-10,4,32,10,30,5720,572,5370,547,524,1772.7205629348755,1772.7653765678406,0.0983269214630127,0.5854034423828125
Abstract Shapes Set - TraSamp 1-10,5,32,10,30,5500,550,5209,528,515,1926.7445068359375,1926.783378124237,0.11373496055603027,0.7127704620361328
Abstract Shapes Set - TraSamp 1-10,6,32,10,30,5280,528,5025,504,499,2371.282116651535,2371.3269386291504,0.1335911750793457,0.9355063438415527
Abstract Shapes Set - TraSamp 1-10,7,32,10,30,5060,506,4839,488,473,2546.092171907425,2546.122145652771,0.15957283973693848,1.6516435146331787
Abstract Shapes Set - TraSamp 1-10,8,32,10,30,4840,484,4668,476,460,2601.7117595672607,2601.7476258277893,0.18039417266845703,1.3531005382537842
Abstract Shapes Set - TraSamp 1-10,9,32,10,30,4620,462,4444,452,436,2920.856794834137,2920.896674633026,0.22185039520263672,1.8007125854492188
Abstract Shapes Set - TraSamp 1-10,10,32,10,30,4400,440,4241,429,420,3179.7298772335052,3179.764788389206,0.22240543365478516,1.9375975131988525
